SpeciesId,StatArea/CU,CU_Name,Year,T_Idx_E,ExpFactor1,AdjSum,ExpFactor2,ObsE,ExpFactor3,TE,CDN Harvest,CDN ER,TRTC,Total Harvest,Total ER,Total Run,Q1,Q2,Q3
CM,CM_12,Smith Inlet,1954,20000,1.21,24287,1.3,31649,1.5,47473,35550,0.43,83024,35550,0.43,83024,2.4,4.12,3.84
CM,CM_12,Smith Inlet,1955,4300,1.21,5222,1.3,6805,1.5,10207,30038,0.75,40245,30038,0.75,40245,2.4,4.12,3.84
CM,CM_12,Smith Inlet,1956,12000,1.21,14572,1.3,18989,1.5,28484,14893,0.34,43377,14893,0.34,43377,2.4,4.12,3.84
CM,CM_12,Smith Inlet,1957,12500,1.21,15180,1.3,19781,1.5,29671,29620,0.5,59291,29620,0.5,59291,2.4,4.12,3.84
CM,CM_12,Smith Inlet,1958,38000,1.21,46146,1.3,60133,1.5,90199,21544,0.19,111743,21544,0.19,111743,2.4,4.12,3.84
CM,CM_12,Smith Inlet,1959,11750,1.21,14269,1.3,18594,1.5,27891,15209,0.35,43100,15209,0.35,43100,2.4,4.12,3.84
CM,CM_12,Smith Inlet,1960,12500,1.21,15180,1.62,24529,1.5,36793,21435,0.37,58229,21435,0.37,58229,2.4,4.12,3.09
CM,CM_12,Smith Inlet,1961,7750,1.21,9411,1.62,15208,1.5,22812,14717,0.39,37529,14717,0.39,37529,2.4,4.12,3.09
CM,CM_12,Smith Inlet,1962,16500,1.21,20037,1.62,32378,1.5,48567,24868,0.34,73436,24868,0.34,73436,2.4,4.12,3.09
CM,CM_12,Smith Inlet,1963,23250,1.21,28234,1.62,45624,1.5,68436,34456,0.33,102892,34456,0.33,102892,2.4,4.12,3.09
CM,CM_12,Smith Inlet,1964,22900,1.21,27809,1.62,44937,1.5,67405,48462,0.42,115867,48462,0.42,115867,2.4,4.12,3.09
CM,CM_12,Smith Inlet,1965,1600,1.21,1943,1.62,3140,1.5,4710,11334,0.71,16043,11334,0.71,16043,2.4,4.12,3.09
CM,CM_12,Smith Inlet,1966,500,1.21,607,1.62,981,1.5,1472,1407,0.49,2879,1407,0.49,2879,2.4,4.12,3.09
CM,CM_12,Smith Inlet,1967,15425,1.21,18732,1.62,30269,1.5,45403,24536,0.35,69939,24536,0.35,69939,2.4,4.12,3.09
CM,CM_12,Smith Inlet,1968,18575,1.21,22557,1.62,36450,1.5,54675,80579,0.6,135254,80579,0.6,135254,2.4,4.12,3.09
CM,CM_12,Smith Inlet,1969,2650,1.21,3218,1.62,5200,1.5,7800,33985,0.81,41785,33985,0.81,41785,2.4,4.12,3.09
CM,CM_12,Smith Inlet,1970,22500,1.31,29385,1.23,36155,1.5,54233,94687,0.64,148920,94687,0.64,148920,2.4,3.83,4.06
CM,CM_12,Smith Inlet,1971,11500,1.21,13965,1.23,17183,1.5,25775,12664,0.33,38439,12664,0.33,38439,2.4,4.12,4.06
CM,CM_12,Smith Inlet,1972,45500,1.21,55254,1.23,67985,1.5,101978,43463,0.3,145441,43463,0.3,145441,2.4,4.12,4.06
CM,CM_12,Smith Inlet,1973,67000,1.21,81363,1.23,100110,1.5,150165,93025,0.38,243190,93025,0.38,243190,2.4,4.12,4.06
CM,CM_12,Smith Inlet,1974,27500,1.21,33395,1.23,41090,1.5,61635,23377,0.28,85012,23377,0.28,85012,2.4,4.12,4.06
CM,CM_12,Smith Inlet,1975,10500,1.21,12751,1.23,15689,1.5,23533,7875,0.25,31409,7875,0.25,31409,2.4,4.12,4.06
CM,CM_12,Smith Inlet,1976,11500,1.21,13965,1.23,17183,1.5,25775,16632,0.39,42407,16632,0.39,42407,2.4,4.12,4.06
CM,CM_12,Smith Inlet,1977,46000,1.21,55861,1.23,68732,1.5,103099,73026,0.41,176124,73026,0.41,176124,2.4,4.12,4.06
CM,CM_12,Smith Inlet,1978,37800,1.08,40772,1.23,50166,1.5,75249,49690,0.4,124940,49690,0.4,124940,2.4,4.64,4.06
CM,CM_12,Smith Inlet,1979,8750,1.08,9438,1.23,11613,1.5,17419,10208,0.37,27627,10208,0.37,27627,2.4,4.64,4.06
CM,CM_12,Smith Inlet,1980,65000,1.08,70110,1.08,75994,1.5,113992,21570,0.16,135561,21570,0.16,135561,2.4,4.64,4.61
CM,CM_12,Smith Inlet,1981,67400,1.08,72699,1.08,78800,1.5,118201,20241,0.15,138442,20241,0.15,138442,2.4,4.64,4.61
CM,CM_12,Smith Inlet,1982,88000,1.08,94919,1.08,102885,1.5,154327,16632,0.1,170959,16632,0.1,170959,2.4,4.64,4.61
CM,CM_12,Smith Inlet,1983,44300,1.08,47783,1.08,51793,1.5,77690,5735,0.07,83424,5735,0.07,83424,2.4,4.64,4.61
CM,CM_12,Smith Inlet,1984,19200,1.08,20710,1.08,22448,1.5,33671,8463,0.2,42134,8463,0.2,42134,2.4,4.64,4.61
CM,CM_12,Smith Inlet,1985,30800,1.08,33222,1.08,36010,1.5,54014,21702,0.29,75716,21702,0.29,75716,2.4,4.64,4.61
CM,CM_12,Smith Inlet,1986,83900,1,83900,1.08,90941,1.5,136412,56490,0.29,192902,56490,0.29,192902,2.4,5,4.61
CM,CM_12,Smith Inlet,1987,49500,1,49500,1.08,53654,1.5,80482,21341,0.21,101823,21341,0.21,101823,2.4,5,4.61
CM,CM_12,Smith Inlet,1988,57000,1,57000,1.08,61784,1.5,92676,25300,0.21,117976,25300,0.21,117976,2.4,5,4.61
CM,CM_12,Smith Inlet,1989,19675,1,19675,1.08,21326,1.5,31989,21699,0.4,53688,21699,0.4,53688,2.4,5,4.61
CM,CM_12,Smith Inlet,1990,43815,1,43815,1.07,47033,1.5,70550,41484,0.37,112034,41484,0.37,112034,2.4,5,4.66
CM,CM_12,Smith Inlet,1991,29630,1,29630,1.07,31806,1.5,47710,23938,0.33,71648,23938,0.33,71648,2.4,5,4.66
CM,CM_12,Smith Inlet,1992,14350,1,14350,1.07,15404,1.5,23106,24885,0.52,47991,24885,0.52,47991,2.4,5,4.66
CM,CM_12,Smith Inlet,1993,17000,1,17000,1.07,18249,1.5,27373,15505,0.36,42878,15505,0.36,42878,2.4,5,4.66
CM,CM_12,Smith Inlet,1994,19400,1,19400,1.07,20825,1.5,31237,19933,0.39,51171,19933,0.39,51171,2.4,5,4.66
CM,CM_12,Smith Inlet,1995,46800,1,46800,1.07,50238,1.5,75356,17133,0.19,92490,17133,0.19,92490,2.4,5,4.66
CM,CM_12,Smith Inlet,1996,28600,1,28600,1.07,30701,1.5,46051,811,0.02,46862,811,0.02,46862,2.4,5,4.66
CM,CM_12,Smith Inlet,1997,6700,1.03,6905,1.07,7412,1.5,11118,0,0,11118,0,0,11118,2.4,4.85,4.66
CM,CM_12,Smith Inlet,1998,10395,1,10395,1.07,11159,1.5,16738,0,0,16738,0,0,16738,2.4,5,4.66
CM,CM_12,Smith Inlet,1999,16800,1,16800,1.07,18034,1.5,27051,0,0,27051,0,0,27051,2.4,5,4.66
CM,CM_12,Smith Inlet,2000,31284,1.04,32441,1.05,34001,1.5,51001,0,0,51001,0,0,51001,2.4,4.82,4.77
CM,CM_12,Smith Inlet,2001,29538,2.1,61908,1.05,64886,1.5,97329,0,0,97329,0,0,97329,2.4,2.39,4.77
CM,CM_12,Smith Inlet,2002,81400,1.04,84409,1.05,88469,1.5,132704,0,0,132704,0,0,132704,2.4,4.82,4.77
CM,CM_12,Smith Inlet,2003,74000,1,74000,1.05,77559,1.5,116339,0,0,116339,0,0,116339,2.4,5,4.77
CM,CM_12,Smith Inlet,2004,66000,1,66000,1.05,69175,1.5,103762,0,0,103762,0,0,103762,2.4,5,4.77
