"stk","CU","muAlpha","alpha","beta0","rho","sigmaAlpha","sigma"
1,"PrtI",0.982325587308968,1.25375530071201,1.78497347568204e-05,0.222575542700638,1.8998954365573,0.510799412570769
1,"PrtI",0.884496224273347,1.32309194156838,3.0907967613152e-05,0.514582897678331,1.04364439161924,0.523195259246932
1,"PrtI",0.835460404138557,1.19397318754828,2.5518015649938e-05,-0.146952044746327,0.33284266632503,0.341192123178855
1,"PrtI",1.15382736432525,1.25015220053569,2.84661960576923e-05,0.39334338172938,0.820458944051034,0.628102781638081
1,"PrtI",0.852711850325956,1.17611826538682,2.42128607142572e-05,0.725240187771258,1.08694855683306,1.41029426369062
1,"PrtI",1.36048785822802,1.13437878721167,2.62619305783596e-05,0.279787881359486,1.34930723540076,0.336443987872486
1,"PrtI",1.06923129192505,1.26503342586894,2.46842441917316e-05,0.705915105313483,0.0383066719588338,0.93015245097935
1,"PrtI",1.33616049714868,1.17755475907711,2.73337009091674e-05,0.808007630715202,0.960009853604314,0.996306864967615
1,"PrtI",0.738489066058236,1.1893545534954,3.20323023069919e-05,-0.0486969028464815,0.141580032750456,0.257628183933103
1,"PrtI",0.838743155616524,1.45094110379076,3.49287524788552e-05,0.739566784243316,0.828056806332801,1.178798296537
1,"PrtI",1.20223349909945,1.24189260247106,2.98698803800137e-05,0.825742070251282,0.549763215403189,1.96879428826913
1,"PrtI",0.500475968158884,1.18152350806493,2.79280206796679e-05,0.808303110441542,0.104237508469206,1.81591662640682
1,"PrtI",0.484161598621762,1.1897710926318,2.62975196091846e-05,0.790529757223348,0.526600347837349,1.33766285985968
1,"PrtI",0.312527306260479,1.44946064597162,3.99148027231902e-05,0.298306988479044,0.981508331932041,0.451053220532825
1,"PrtI",0.529826502296571,0.612539984612715,8.98192820034139e-06,0.835655565087345,0.554282108675187,2.77202096496902
1,"PrtI",0.630679493155646,1.17109100212349,2.11756515570129e-05,0.638258978861973,1.57151636246663,0.938628206392491
1,"PrtI",0.707650178794671,1.31204849059949,3.3944307696079e-05,0.677187378066093,0.757561722569174,1.14495094971674
1,"PrtI",0.911975812147218,1.15946165824996,3.25705339124062e-05,0.826298179243352,0.497022502096806,3.1287228905428
1,"PrtI",0.711233016094483,1.30944708676201,2.94671169028306e-05,0.816204317129704,1.10759493602994,1.60375371323155
1,"PrtI",1.19233923026029,1.06246138580406,2.06017796976605e-05,0.565422415004018,2.13474590998921,0.856873392290896
1,"PrtI",1.10416802885311,1.02414375940717,2.27707147293683e-05,-0.0958939916599154,0.918490666690889,0.255439163832688
1,"PrtI",1.24259879577312,1.02935879543786,1.96670618675904e-05,-0.88561798150367,1.20892017487176,0.173803031278248
1,"PrtI",1.28458330195869,1.18397621094795,2.7441472844901e-05,-0.437312200648736,0.124746628710168,0.344287020539613
1,"PrtI",1.00170684379621,1.08769583313356,2.23769423467124e-05,0.353562770077813,1.23395416185107,0.617844785407555
1,"PrtI",1.36313722000989,1.24407644493558,3.11880050236011e-05,0.741315210029677,0.338520523702878,1.55993303603684
1,"PrtI",0.966406243525846,1.25571175484533,2.89250939473232e-05,0.206775280714482,0.429253173293408,0.423955824658138
1,"PrtI",0.16188948852762,1.27298779689041,3.0230234062694e-05,0.561546560266397,2.41330225120397,0.562621480708093
1,"PrtI",-0.0730079694360972,1.11241050494722,2.85480566289426e-05,0.76959989090361,2.70285502312313,1.84679193661332
1,"PrtI",0.598302914467657,1.32615870626925,2.52273543194154e-05,0.733757649265601,0.685053814215081,1.42289804291558
1,"PrtI",0.981706513550697,1.04479169876635,2.13207845573564e-05,0.22265133342804,0.339511110877767,0.420692634662817
1,"PrtI",1.61384483767536,1.17044716553042,2.72818573949408e-05,0.335520398455497,1.31559825449772,0.482224055549973
1,"PrtI",0.295781102236153,1.37186052028049,2.68077307374526e-05,0.846875122973798,2.87544015046678,2.35797405106898
1,"PrtI",0.773472530895727,0.919284913147543,1.99909570222277e-05,0.359157104417259,1.18233811925664,0.806753751743689
1,"PrtI",0.662733028062497,1.10293814412892,1.64356064827947e-05,0.469942906184136,0.757698526326494,0.749290571577917
1,"PrtI",1.07551763751305,1.17454779070485,2.68890068662407e-05,-0.566086512859638,0.459494492860363,0.245904556683074
1,"PrtI",1.46657312421436,1.02489042874093,2.31771716506109e-05,0.863632193832649,0.45861725772376,2.4269283511957
1,"PrtI",1.52950504957645,1.55839473525653,3.58879907947674e-05,0.224729927970774,0.826877760744818,0.584689935619625
